id,nome,fonte,grupo,data_importacao,tags,historico
112928179142781@lid,Ronaldo Simplicio,webhook_recebido,554184212269-1488774100@g.us,2026-01-27 14:32:28,"['ativo', 'grupo_principal']",[]
558894227586@s.whatsapp.net,Canal Oficial,configuracao_sistema,,2026-01-27 14:32:28,"['canal', 'oficial']",[]
5588921567214@s.whatsapp.net,Atendimento Humano,configuracao_sistema,,2026-01-27 14:32:28,"['atendimento', 'humano']",[]
5588999999999@s.whatsapp.net,Maria Silva,importacao_planilha,,2026-01-27 14:32:28,['importado'],[]
5585988888888@s.whatsapp.net,João Santos,importacao_planilha,,2026-01-27 14:32:28,['importado'],[]
5511977777777@s.whatsapp.net,Ana Costa,importacao_planilha,,2026-01-27 14:32:28,['importado'],[]
5588966666666@s.whatsapp.net,Pedro Oliveira,importacao_planilha,,2026-01-27 14:32:28,['importado'],[]
112928179142781@lid,Ronaldo Simplicio,webhook_recebido,554184212269-1488774100@g.us,2026-01-27 14:34:00,"['ativo', 'grupo_principal']",[]
558894227586@s.whatsapp.net,Canal Oficial,configuracao_sistema,,2026-01-27 14:34:00,"['canal', 'oficial']",[]
5588921567214@s.whatsapp.net,Atendimento Humano,configuracao_sistema,,2026-01-27 14:34:00,"['atendimento', 'humano']",[]
